model,nParameters,r,mse
Belief Alignment,10,0.8088110181271139,0.007070447019816326
State Communication,10,0.629580854226054,0.012396902253363009
Literal Speaker,10,0.7616166133108148,0.008592693767787167
mReasoner (group),4,0.7141918980328863,0.04090476822917702
mReasoner (individual),556,0.8217482490658777,0.016869604110723222
Probability Heuristics (group),5,0.7671751826161942,0.048042284936363075
Probability Heuristics (individual),695,0.8334957871150426,0.020022813484368535
